sentence,cluster
com.mathvszombies.mathgame,150
com.royal.king.rescue,519
com.tdu_crossing.upstone,261
com.andromo.dev681525.app836506,61
com.binghuo.currencyconverter,675
com.mesibagames.ropeclash2,368
com.games.poker.teenpatti,410
com.katanlabs.ragdollfight,249
com.beresnevgames.pixelgallery,2428
com.bt.carcrashdriving.leapofdeath,82
kadatv.france,763
com.akdev.wheelielife2,80
com.Amazing.fighting,770
com.minicraft.pro,127
com.devcro.packopener18,2327
com.rlg.snake.transform.robot.war.game,254
com.games.battle.monster.draw.casual,112
sunday.freemusicplayeryoutube.floatingtubeplayer,1136
com.offsong.txtpaper,60
com.fc.p.tj.satisfy.ocd.organizing.braintest.asmr.game,1010
com.sutecstdio.truckolengsimulatorindo,0
com.EudokiaGames.EyesRiot,56
com.gamerz.forza.horizon.four,238
jp.naver.line.android,341
pl.netigen.simpleviolintuner,1357
com.dominigames.mtr3serial4,81
com.fghgame.mbplayground,624
com.tks.minibusiki,127
stech.stylish.text.nickname,1209
com.nfnetwork.app,906
com.tapnation.athleticrush,1463
com.phone.helper.pro.cleaner,154
com.randomsaladgames.dominoes,1505
com.memuu.animal2d.gg.sea,75
com.zenjoy.home.blast,2136
com.poppy.fnaf.survival,307
com.sblooming.jempire,1881
com.royalcrowngaming.slotopia,338
com.vitalapps.sabbyandsophia.videocall.chatapp,228
air.com.hfg.cursedrealm,378
com.dressup0v0.familydressup,1426
com.mob3dgamers.fast.food.delivery.boy,579
com.kakaogames.friendsKing,1904
com.ahoygames.rummy,949
com.innovate.MalaysianSocial,235
com0.Company.ProductName1,1716
com.electroniccat.mydreamhoteltycoon,2160
com.arg.unblocktraffic,184
blocks.constructor.figure.idler,386
com.xings.angryanimals.city.smasher,137
nati.toallasrud.naati,733
com.find.daddy.prank.babby.survivor2024,1621
com.gamee.fishdig,736
com.nevosoft.mylittleplanet,1000
com.piratebrig.shapeslicer3d,710
com.gamecottage.monstertruckoffroaddrive3d,1174
com.fansipan.pixel.hero.action.rpg.adventure.games,1762
com.fruitconnect.clgf,1493
com.geda.tilescat,1196
com.bingo.offline.classicgame,1061
com.eternalstudio.dozerdemolish,1855
com.dhzSoft.SuperBobbysAdventure,885
com.junglecash.moneybox,1891
com.breyman.truksapi2,0
com.fast.free.unblock.secure.vpn,1756
com.mdp.korea,286
com.morarosa.speario3d,843
com.frogmind.badland,1910
com.northpark.periodtracker,2204
com.fiveamp.idle.tycoon.coffeecraze,2341
com.fruitjourney.free.game,395
chat.videocall.straykids,228
com.andromo.dev623844.app755130,61
com.azerion.games.lol.suprise.dollhouse,186
com.community.mbox.ru,420
com.creativeoffice.antwallet,390
com.bharat.browser,387
com.sdlgl.zcqx,692
com.foranj.cartooncity,563
videoez.video2saver.easydownloader,1050
com.roblock.rainbow.find.daddy2023,1621
com.ivuu,782
com.ouelstudios.motodi,2259
com.minicraft.blockworld.crafting,863
com.bajake.tractorsimulator,2013
mobile.warrior.inggris,1376
com.casualcrest.cardsprint,222
mp3.cutter.ringtone.maker.trimmer,616
game.puzzle.athena.mosaic.card,450
sirat.soft.islamic.hizbulbahar,1772
com.firstanvilgames.battle.shooter.fps.Battleground.game,7
com.bike.stunt.tricks.master.race,1230
com.vitgames.meq,851
com.suuu.kattogame,2237
com.zymobile.jewel.candy.pirate,1457
com.smart.app.game.gameHall,85
dont.slice.the.cats,1113
com.an.fashion.chibidoll,1298
com.fullmedia.fapromediaplus,1873
com.productivity.cast.tvremote.screen.mirroring,724
net.lowcostapp.orcwar,2178
com.BinaryCores.One10T,561
com.merge.letter.abc.run,512
com.blacklightsw.ludo,517
com.varu.s,711
by.prokorim.magic,2106
com.dino.poppy.rope.craft,307
appcreator24.social.apps,651
magic.halloween.card.solitaire.free,1624
com.dressup.mix.leftright,1204
com.csquad.pancakerun.pancakeee.rush.app,554
com.home.memories,1563
com.redlitegames.bmxcycle.racing.game,1655
com.jrzheng.supervpnfree,2178
com.badavoca.middle,1717
com.gachha.sticks,689
com.malvo.baseball,609
bosal.appju.app,1519
com.chyao.simpleduster,108
com.kokicilik.mercedeswallpaperhd,726
com.pin.jam.puzzle,470
com.CherryPopGames.PoolNationClash,227
com.eduven.ld.dict.zoology,2473
com.skylinkstudio.toy.triple.match3d.game,472
com.spiderhero.fighting.superhero,1840
com.pretender.worker.next,1892
com.pixelkraft.edgelightcolors,454
com.idletycoonminer.puzzlemerge.games,1174
videoeditor.videorecorder.screenrecorder,724
game.wsa.superhero.spider.fight,1840
com.skisosoft.cts,1625
com.live.video.call.chat.girl.online,1189
com.app.AlofokeFm,375
weather.forecast.alert.storm.radar,352
com.app.android.qw.readink,292
com.sd.battlefight,899
it.redbitgames.cookieclickers2,466
com.bcgame.fun,20
com.arnewstudio.caritangenahdansegar,929
shortx.powerfulphrases,1753
com.Zebra_HD.Wallpaper.wallpapersapp,670
com.gaminglegends.taxigame.taxisimulator.grand.car.driving2020,1342
com.cscmobi.merge.city,164
com.pg.truck.simulator.trailer,345
surprise.doll.dress.up,1154
com.quickclean,1005
com.linhtran.fnf.pink,693
com.microsoft.microsoftsolitairecollection,1425
com.gsn.android.casino,641
com.infinitygames.squareit,573
com.hust.facedetect.camera,1280
com.ristretto.hopscotch,930
com.siamlinkvpn.th,652
com.dreamwedding.photoframe,1522
com.ShrinkingInc.ShrinkMod,713
game.uno.card,1786
com.ratrodstudio.snowparty2lite,1804
com.kopimantan.fatihah7,36
com.ikeyboard.theme.kawaii.animal.face,1884
com.unept.unicyclelegend,1424
artefacts.clima.rain,1315
com.radiostationbox.cu,1076
com.premium.followers.likes.views,1053
com.grann.house.neigh,636
com.hto.midiew.pro,2454
com.dominigames.ca3,392
com.talf.yonh.flyer,950
xbox.controller.remote.control,1202
com.PixelDashStudios.RoadRedemption,110
com.hit.foodexpress,655
com.jura.bus.stunt.master,485
com.bigqstudio.mergedinosaur.mergemaster,79
com.mspengejar.pinjol18tahun,55
com.pelisplaymax.peliculas,146
com.tophat.policesiren,491
com.nordcurrent.canteenonlinehd,465
com.ymdeveloper.dominicanatv,392
com.simplicity.zgadnij_co_to,2110
com.n9n.water.shooting,482
com.spongepop.grannymod3,406
com.cyberscify.lagilbertona,2243
com.melesta.coffeeshop,290
com.zatg.scaryrobber.boylife,216
com.backslash.tv.remote.control.sonysmart,937
com.moviemaker.photovideo,213
com.tpqstudio.tpkt,593
com.xmas.artgirlswallpaperhd,553
huayuaninttech.soundboard.prank.amuse,105
com.ponyom.baseball,609
com.higame.par.gun.simulator.shooter.asmr.prank,161
net.ilyon.pooltrickshots,27
com.fullfat.android.blockyrugby,2407
com.katanlabs.ropecuttingrescueoperation,249
com.parwana.dubaivansimulator.cargames,647
uk.mauinet.love7080,1180
com.halahmbuh.dogskinsformcpe,188
com.hdlivefoot.tvapphdsdnew,1097
com.atrilliongames.chessnew,320
com.anukastudio.camaro.driving,1366
com.abs.core.body.home.workout.jian032c,1031
soft.vorbt.boeiten,1784
fps.shooting.strike.gun.glory,992
com.PassiaTechApps.mp3downloader.music.downloader.jp.jp,1579
com.gpsmapcamera.phototimestamp.datestamper.gpscamera.photodatestamp.geotagapp,836
click.meowplus.vpn,2102
com.tencent.ibg.joox,2283
yash.naplarmuno,1016
com.musicdownloader.soundmp3.mp3downloader.freemusic,416
com.twodestudios.triviaclash,69
com.gplay.paper.doll.diy.dress.up,336
com.candywriter.doglife,1576
com.playagames.shakesfidget,16
com.cute.princess.adeevapps,1427
mobi.redstonegames.crossword.en,1036
net.alexplay.goblin,788
com.mindstormstudios.tinysheep,484
com.modulardreams.bubblewars,1332
com.casualjoygames.healthyhospital,2432
wood.block.puzzle.woodyblockpuzzle,285
com.block.puzzle.singer,57
com.Galaxy4Games.BingoLoveinMontana,1055
com.trafficjam.carescape.parkinggames,156
com.buzzpowder.gostop_free,103
com.perplelab.dragonvillagem.kr,440
games.burny.color.sort.woody.puzzle,384
com.islamic.quiz.trivia.question,623
com.robux_reward_genius,1877
com.CiihuyCom.MisteriDesaMeraung,2092
pro.novel.fiction.read.story.book,527
com.epicapps.keyboard.theme.leds.keyscafe,209
com.eidoloncorp.happydiff,50
com.qublix.solitairetalestwo,644
com.zealbit.nb.venom,782
com.ea.games.simsfreeplay_row,38
com.battlecreek.nolimit2dirtdrags,1751
iOS.phone.dialer,1853
com.rizwan.simplepdfreader2018,108
com.wazzapps.idle.streamer,446
com.TopNotchGalaxy.WarRobotsRealBattleRobotsGameToughRobotsForcesAttackMechTransformSimulatorWarRobo,254
com.eastudios.chinesepoker,914
com.health.sicknaki,124
com.playcus.groovemasters,38
com.convertercalculator.unitsapp,522
keum.daniel25.vibration_meter,653
br.com.tapps.fantasylasvegas,65
com.metamoki.fish,2232
com.playwithgames.MultilevelParking6,624
com.netease.partyglobal,445
com.backstreet.gun.strike.counter.terrorist.fps.shooting,1714
com.wuxdstudio.uppercleaner,1151
com.zinestudio.holehouse,996
com.anime.magic.princess.doll.avatar.dressup.games,1427
com.westover.boxman,569
com.tkteam.free.all.novel,808
com.sumom.dorid,1246
com.watch.ovies,1683
com.tissu.truck.oleng2021,0
solitaire.collection.win.real,884
com.merigotech.fillwords,463
com.trywebsoft.tictactoe,124
it.spaghettiinteractive.buracoplus,220
hair.style.changer.filter.haircut.color.cut.hairstyle.beard.editor.bald.dye,761
videomaker.photovideo.photoslideshow,72
com.square_enix.pool,573
com.tg.hillclimbermotobike2world,2094
melstudio.mmornyoga,1828
com.YsoCorp.RetroBattle,123
com.mwcompany.MusicWarsRockstar,1001
com.fancyforce.happywheels,2303
com.alp.RollerCoaster,2305
com.draw.to.smash.beehive.puzzle,835
com.television.robot.invastion.survival.game,2028
com.oaciangames.pregnant.mother.pregnancy.life.simulator.game,1334
mini.kitchen.idle,1933
bounce.tile.matching.paint.master,245
com.mobigamersstudio.fix.the.item.electronics.repair.master,1227
woody.dice.merge.domino.free.board.block.puzzle.fun.game.match.tile,83
timeshunt.malayalam.calendar,938
genix.teamdurian.nuts.bolts.screw.wood,384
com.axondevstudio.The.Scary.Teacher.Return.Evil.Teacher,773
com.mdev.mytasbeehcounter,118
com.sybogames.subwaysurfers.blast,199
com.merge.skybidicamera,164
org.hostedgames.tudorintrigue,691
com.vipgames.twentynine,171
com.clechilipe.compassvault,1417
com.pretty.smart.tool.clean,2189
udenity.draw.weapons.csgo,650
com.gramgames.london.bounzy,714
com.genius.supernaturalschool,855
com.ds.diversion.streaming,446
com.passport.id.photomaker.visa,669
com.bimilyoncu.sscoderss.floatingminimizerforyoutube,15
com.fc.p.sm.Duno.run.jump.pixel.adventure.world,1880
won.earn.dollar,1270
com.genuinestudio.unexpectedstory,1618
com.genius.mafiaotome,855
com.surgeapp.zoe,1282
com.wallpaper.stock.hd.photo.live,120
com.cyber.vvip2d,191
com.photopro.collage.collagemaker,2156
suva.cool.cleaner.master.booster,1082
com.fmnovel.smooth,1143
com.live.earthview.maps.gpsfinder.globalsatellite.apps,317
com.make_me_old.face_changer,586
com.tabtale.soccermom,524
com.ellisapps.bedtimefan,2229
com.blockpuzzle.tetris.amazon,282
com.andmi.FightingCity.free,385
com.softboom.autovelox,1784
com.camerafilter.kedakcam.insta.yellowsun.retrofilter,1387
com.pizzeriaobby.escapethepizzeriaobby,313
com.HeavenPortals.HeavenPortalMod,1701
com.mbcasmarlivestream94,1040
com.elestorm.bingoadventure,728
com.footstotoball_brasileroo.wo,796
com.clean.phone.safe.security,154
org.player,1092
com.psp.brainmindgames,238
com.googosigor.templatetwofootballjuly,1901
me.obmufbt.bvomvmk,2140
com.funcell.transformation,1007
com.andromo.dev524178.app497885,61
com.appsinnova.android.keepbooster,1970
com.erow.whatcraft,1672
com.sg.hospital.doctor.free.games,1105
com.therftautoos.pmce,638
com.mm.nature.wangdfh,366
com.novelmobl.novelenders,275
com.bariskaplan.sahinsimulatorultimate,564
com.ezt.applock.hidephoto,778
jp.dawn.mirrorcakes,554
com.minidoc.master.android,1283
fm.fastmagnifier.fastonline,1452
com.avatarlife.worldcoloring,1990
com.fidgettrading.game,1228
com.iden.LikeNastyaPuzzle,78
com.avirise.praytimes.azanreminder,1262
com.alpha.instantcut,1377
com.quickturtle.EmployeeSurvival_en,1596
com.kain.revenge.titans,957
jp.uuum.blueman4,867
com.shinsu.app,1100
ru.otkritkionline.pozdravleniya,684
com.mirai.santa.prankcall.prankapp.fakecall.claus,745
com.fredayal.modmotordragbussidlengkap,684
com.uitdev.TienLen,19
com.ibooktok.novel,275
br.com.rangousfood.misterflixapp,1817
ru.mamba.client,265
com.appybuilder.technicalmachan.Kerala_Bus_Livery_Mod,9
com.plotshow.snackshow,1508
products.biglove.localfood,2057
com.match3d.triple.sort.puzzle,472
cwp.softcrea.pscimt.jhalfh,606
io.yarsa.games.marriage,551
com.jegaming.lokicraft,565
com.gsstudio.futuristic.tourist.river.bus.game,2084
com.ouelstudios.isekaibrother,2360
com.horseboxsoftware.YEG,1492
com.shop.tycoon.business.manager.simulation.girl.games.global,1495
com.fran.agent.j,214
com.phonato.doubleJackpotSlots,2278
com.estoty.game2048,1936
com.craftsman.city,800
com.ikeyboard.theme.galaxy.rainbow,63
com.gune.assemblyy,152
com.momine_minecraft_horror.craft_world_mod,489
se.scmv.belarus,1627
com.todayshitringtones.best_ring_tones,1640
com.zeptolab.timetravel.free.google,758
com.berkahdev.minecraftpe.mindcraft.craftsman,489
com.zmedia.wordtower,2051
com.country.balls.arena.wwz,332
air.com.playforia.iq.bubbles.android,717
com.ask.ai.chatgpt.assistant,2072
games.crown.match3d.tile.puzzle.game,245
com.onegame.superstickmanhero,359
com.veneno.drift.city.simulator,1568
com.muslim.android,2498
com.chaozhuo.gameassistant,1975
com.techiecomputers.apps,1857
com.musicsi.musicstream,786
com.banasfaji.jama,1107
com.bp.bpbooldpressure,2309
com.fringstudio.GameTuanMudaxCasperBasuri,111
com.kids.vs.zombies.pvp.multiplayer.pve.brawl.first.person.fps.shooter.action.games,298
com.mobilityware.solitaire,426
com.quiz.answer.question.little,912
